,Name,US dollar,Euro,Japanese yen,Pound sterling,Canadia ndollar,Swiss franc,Indian rupee,Chinese renmimbi,US dollar.1,Saudi riyal,Indonesian rupiah,UAE dirham,Thai baht,Vietnamese dong,Egyptian pound,Korean won,Euro.1,Russian ruble,US dollar.2,South African rand,Chinese renmimbi.1,Canadian dollar,Australian dollar
0,31/12/1978,207.8,129.2,,104.6,,,,,207.8,,,,,,,,129.2,,207.8,,,,
1,31/01/1979,227.3,139.5,44853.1,113.3,269.5,378.8,1852.8,,227.3,754.1,141796.4,869.4,4582.2,,,111186.6,139.5,,227.3,197.0,,269.5,198.6
2,28/02/1979,245.7,151.3,49213.2,122.5,293.2,410.6,2010.4,,245.7,822.3,153099.6,939.1,4949.5,,,118284.0,151.3,,245.7,209.9,,293.2,216.7
3,30/03/1979,242.1,149.3,49989.4,118.8,284.2,407.3,1974.9,,242.1,810.1,151068.5,926.2,4884.5,,,116507.1,149.3,,242.1,204.4,,284.2,215.9
4,30/04/1979,239.2,148.8,51707.2,115.4,274.2,410.5,1960.9,,239.2,817.3,149744.3,919.9,4842.6,,,115555.9,148.8,,239.2,202.8,,274.2,215.8
5,31/05/1979,257.6,161.0,56429.3,125.2,297.7,445.4,2119.4,,257.6,870.7,160957.0,983.5,5208.5,,,124738.2,161.0,,257.6,217.6,,297.7,233.0
6,29/06/1979,279.1,173.0,61069.3,132.1,327.4,474.5,2248.9,,279.1,941.3,172550.1,1064.8,5592.2,,,132563.7,173.0,,279.1,235.6,,327.4,251.1
7,31/07/1979,294.7,178.2,63843.1,130.5,343.0,486.1,2309.7,,294.7,980.4,182837.9,1109.8,5881.5,,,137305.9,178.2,,294.7,248.5,,343.0,261.4
8,31/08/1979,300.8,182.0,65530.2,134.5,352.0,498.5,2409.8,,300.8,1024.8,190103.6,1147.1,6194.9,,,148383.2,182.0,,300.8,252.0,,352.0,266.6
9,28/09/1979,355.1,212.4,78779.2,161.6,413.0,571.4,2865.0,,355.1,1189.7,221560.7,1343.1,7260.9,,,175525.8,212.4,,355.1,294.6,,413.0,314.7
10,31/10/1979,391.7,235.4,90002.7,182.6,459.1,637.1,3204.0,,391.7,1319.0,245305.8,1488.5,7981.6,,,193444.0,235.4,,391.7,323.8,,459.1,350.9
11,30/11/1979,392.0,234.8,95936.2,183.7,461.9,643.9,3183.5,,392.0,1315.7,244624.9,1465.9,7876.6,,,184889.7,234.8,,392.0,324.3,,461.9,357.9
12,31/12/1979,455.1,268.2,111042.2,207.2,540.6,739.8,3731.8,,455.1,1551.9,288307.7,1751.8,9383.5,,,223444.2,268.2,,455.1,382.0,,540.6,418.8
13,31/01/1980,675.3,395.1,160503.7,298.0,784.8,1076.1,5358.0,,675.3,2264.6,421650.5,2551.9,13731.5,,,323082.0,395.1,,675.3,553.1,,784.8,607.6
14,29/02/1980,665.3,392.5,162529.5,290.5,769.6,1091.1,5286.7,,665.3,2227.3,415365.3,2485.2,13469.0,,,382813.6,392.5,,665.3,541.8,,769.6,602.7
15,31/03/1980,553.6,343.6,137667.9,250.7,648.9,975.8,4511.5,,553.6,1856.4,346958.8,2076.6,11287.7,,,330759.4,343.6,,553.6,448.8,,648.9,508.0
16,30/04/1980,517.4,326.1,129014.5,233.6,613.2,907.0,4164.4,,517.4,1717.3,322285.8,1927.5,10475.5,,,297208.7,326.1,,517.4,417.4,,613.2,473.3
17,30/05/1980,513.8,312.8,117281.6,223.1,603.2,854.9,4053.3,,513.8,1689.7,317460.1,1892.1,10391.1,,,298538.7,312.8,,513.8,406.2,,603.2,454.5
18,30/06/1980,600.7,361.2,130957.3,257.0,691.9,981.3,4711.1,,600.7,2008.2,376502.8,2233.2,12248.2,,,359842.5,361.2,,600.7,465.7,,691.9,520.7
19,31/07/1980,644.3,384.8,142641.2,271.6,743.4,1038.1,5012.4,,644.3,2142.5,403482.1,2387.6,13093.4,,,386803.2,384.8,,644.3,493.6,,743.4,556.8
20,29/08/1980,627.2,382.4,140384.5,264.5,726.4,1035.0,4867.0,,627.2,2072.6,390973.1,2303.6,12705.7,,,380103.4,382.4,,627.2,476.4,,726.4,541.2
21,30/09/1980,673.6,412.4,144562.5,280.5,784.6,1104.9,5211.1,,673.6,2235.2,421213.0,2481.0,13697.3,,,414638.8,412.4,,673.6,507.4,,784.6,575.6
22,31/10/1980,661.2,414.3,138469.5,273.6,773.7,1099.6,5112.3,,661.2,2195.6,413691.1,2436.8,13461.8,,,410082.6,414.3,,661.2,496.9,,773.7,563.7
23,28/11/1980,623.5,406.1,132816.5,260.2,739.5,1078.2,4833.7,,623.5,2071.2,389668.8,2292.5,12758.6,,,412966.0,406.1,,623.5,468.3,,739.5,534.2
24,31/12/1980,594.9,398.2,124946.0,253.7,712.9,1063.3,4705.2,,594.9,1981.4,372789.8,2191.0,12193.5,,,395089.3,398.2,,594.9,448.8,,712.9,510.1
25,30/01/1981,557.4,380.4,112804.8,231.8,663.8,1015.5,4430.0,,557.4,1858.0,349397.3,2048.5,11461.8,,,365942.3,380.4,,557.4,417.5,,663.8,472.3
26,27/02/1981,499.8,364.6,103241.8,217.9,601.2,978.3,4110.2,,499.8,1672.7,315075.4,1846.2,10326.0,,,343626.8,364.6,,499.8,388.0,,601.2,431.7
27,31/03/1981,498.8,362.7,104319.8,223.3,594.9,960.1,4093.1,,498.8,1670.6,309761.9,1815.0,10129.2,,,331019.4,362.7,,498.8,394.9,,594.9,429.3
28,30/04/1981,495.8,371.8,106571.4,227.6,590.9,979.1,4107.8,,495.8,1665.1,310657.0,1822.5,10220.6,,,343587.5,371.8,,495.8,402.4,,590.9,430.5
29,29/05/1981,479.7,381.7,106059.3,229.8,576.6,993.0,4034.0,,479.7,1621.3,304239.8,1777.1,9988.0,,,333923.1,381.7,,479.7,402.6,,576.6,421.0
30,30/06/1981,460.8,379.3,103252.4,233.4,553.9,955.4,3968.2,,460.8,1565.4,292153.3,1744.0,9635.2,,,329168.7,379.3,,460.8,399.5,,553.9,403.5
31,31/07/1981,409.3,345.6,94977.3,218.3,495.2,857.9,3632.1,,409.3,1397.4,259995.5,1519.0,8895.2,,,288074.3,345.6,,409.3,376.8,,495.2,358.0
32,31/08/1981,410.2,355.7,95704.3,225.3,501.8,889.9,3705.0,,410.2,1401.9,257980.6,1503.0,9347.6,,,285034.9,355.7,,410.2,389.6,,501.8,360.0
33,30/09/1981,443.8,365.5,101783.1,244.4,532.4,898.5,4039.1,,443.8,1515.8,278917.8,1626.0,10146.4,,,308812.4,365.5,,443.8,420.1,,532.4,386.2
34,30/10/1981,437.8,355.1,101182.9,237.7,526.2,823.7,3998.6,,437.8,1494.8,275886.7,1606.0,10005.4,,,294256.2,355.1,,437.8,418.2,,526.2,382.7
35,30/11/1981,413.4,333.7,92357.6,217.4,491.0,737.6,3766.8,,413.4,1413.7,260627.0,1512.7,9457.8,,,275135.7,333.7,,413.4,397.9,,491.0,361.0
36,31/12/1981,410.1,335.5,89639.3,215.3,486.0,744.2,3749.3,,410.1,1403.0,258899.1,1509.2,9416.1,,,290364.4,335.5,,410.1,397.5,,486.0,361.5
37,29/01/1982,384.1,319.3,86326.3,203.6,458.0,708.6,3507.0,,384.1,1313.7,242491.1,1417.5,8791.7,,,272239.4,319.3,,384.1,370.9,,458.0,344.9
38,26/02/1982,374.1,320.2,88211.4,202.6,454.1,708.8,3440.4,,374.1,1280.5,240380.8,1379.4,8600.2,,,269699.2,320.2,,374.1,367.1,,454.1,345.0
39,31/03/1982,330.3,288.9,79645.7,182.8,403.1,623.7,3064.7,,330.3,1129.5,214542.4,1214.9,7590.8,,,237031.3,288.9,,330.3,337.2,,403.1,311.6
40,30/04/1982,350.3,312.8,85434.5,197.8,428.9,687.5,3274.2,,350.3,1199.8,227363.8,1281.6,7992.1,,,253268.7,312.8,,350.3,368.8,,428.9,332.9
41,31/05/1982,333.8,288.2,79283.4,184.4,412.5,652.6,3107.0,,333.8,1147.8,219050.3,1233.9,7662.7,,,239277.3,288.2,,333.8,356.0,,412.5,315.6
42,30/06/1982,315.0,287.7,79099.8,179.2,401.1,654.3,2970.0,,315.0,1079.9,206115.0,1157.6,7213.3,,,234991.2,287.7,,315.0,351.0,,401.1,304.8
43,30/07/1982,339.0,317.3,86107.0,195.3,428.9,707.6,3224.8,,339.0,1162.0,222416.9,1244.5,7767.6,,,251382.6,317.3,,339.0,387.4,,428.9,334.2
44,31/08/1982,364.2,344.2,93958.0,210.8,452.3,765.8,3468.6,,364.2,1250.9,239405.0,1331.4,8295.5,,,270972.4,344.2,,364.2,417.6,,452.3,371.0
45,30/09/1982,437.3,418.0,115172.3,255.3,541.2,937.3,4223.6,,437.3,1508.3,291975.6,1611.1,10051.2,,,329230.5,418.0,,437.3,503.9,,541.2,456.8
46,29/10/1982,422.2,410.7,114652.9,248.7,519.9,917.9,4094.0,,422.2,1454.9,285618.0,1553.4,9675.2,,,313452.5,410.7,,422.2,489.9,,519.9,447.9
47,30/11/1982,414.9,412.4,109638.1,254.0,508.8,910.3,4050.1,,414.9,1427.5,283791.5,1527.4,9512.2,,,316916.9,412.4,,414.9,472.8,,508.8,440.1
48,31/12/1982,444.3,428.9,108127.7,274.6,549.1,914.7,4296.4,,444.3,1526.1,303109.8,1625.1,10126.6,,,331485.5,428.9,,444.3,482.5,,549.1,459.8
49,31/01/1983,481.3,455.7,112746.3,306.1,593.6,951.0,4734.4,,481.3,1661.7,338064.1,1784.8,11118.9,,,372926.0,455.7,,481.3,514.8,,593.6,492.0
50,28/02/1983,491.2,472.5,116692.8,320.6,605.7,996.9,4880.2,,491.2,1698.8,344358.7,1811.5,11289.0,,,389136.0,472.5,,491.2,541.5,,605.7,510.3
51,31/03/1983,419.7,408.5,100267.5,281.7,515.7,869.2,4183.6,,419.7,1448.1,295741.3,1551.6,9637.0,,,322000.9,408.5,,419.7,458.8,,515.7,476.5
52,29/04/1983,432.9,430.7,102951.2,280.7,533.5,890.9,4309.0,,432.9,1494.0,417210.3,1582.7,9862.2,,,319074.1,430.7,,432.9,473.4,,533.5,498.8
53,31/05/1983,438.0,440.6,102665.1,278.5,537.6,900.6,4365.0,,438.0,1509.7,422184.5,1598.7,9976.4,,,333815.3,440.6,,438.0,473.5,,537.6,497.4
54,30/06/1983,412.8,428.4,99216.1,266.8,508.9,872.4,4153.3,,412.8,1428.5,405299.4,1527.2,9510.1,,,329646.0,428.4,,412.8,451.2,,508.9,471.4
55,29/07/1983,422.7,448.0,101689.0,276.7,520.6,895.7,4255.1,,422.7,1460.7,413270.1,1552.8,9711.3,,,328822.8,448.0,,422.7,463.5,,520.6,482.7
56,31/08/1983,416.2,456.5,101763.8,277.0,513.3,900.5,4230.6,,416.2,1443.1,408735.8,1529.1,9534.8,,,329694.0,456.5,,416.2,464.5,,513.3,473.0
57,30/09/1983,411.8,451.6,100023.3,274.7,507.9,892.1,4204.6,,411.8,1433.7,406774.0,1517.1,9470.8,,,324616.3,451.6,,411.8,458.9,,507.9,464.5
58,31/10/1983,393.6,425.1,91828.9,262.8,485.4,832.9,4021.9,,393.6,1372.3,388213.9,1450.1,9032.6,,,311055.0,425.1,,393.6,443.3,,485.4,431.1
59,30/11/1983,381.7,423.9,89615.3,258.4,471.1,827.6,3949.9,,381.7,1327.0,376834.7,1402.6,8753.4,,,305636.9,423.9,,381.7,451.8,,471.1,415.9
60,30/12/1983,388.3,442.0,91035.6,270.9,483.8,853.3,4063.4,,388.3,1352.7,385881.7,1425.7,8900.9,,,315863.5,442.0,,388.3,472.7,,483.8,430.3
61,31/01/1984,370.9,431.5,86694.6,263.3,462.9,829.6,3966.9,,370.9,1300.4,370075.2,1361.1,8528.9,,,303476.2,431.5,,370.9,465.2,,462.9,408.8
62,29/02/1984,385.9,434.8,90242.8,267.9,481.9,852.0,4129.8,,385.9,1353.4,380809.4,1408.4,8792.0,,,300948.3,434.8,,385.9,474.4,,481.9,412.5
63,30/03/1984,394.3,428.6,88946.1,270.7,501.0,848.4,4228.2,,394.3,1387.8,393124.4,1450.0,9056.8,,,319992.4,428.6,,394.3,480.4,,501.0,414.8
64,30/04/1984,381.4,420.6,85915.0,268.1,487.8,835.5,4116.2,,381.4,1343.8,383417.2,1384.8,8775.1,,,305835.4,420.6,,381.4,475.6,,487.8,412.9
65,31/05/1984,377.4,431.4,87039.6,271.5,487.9,855.6,4139.7,,377.4,1327.0,380951.0,1387.8,8677.2,,,302492.9,431.4,,377.4,482.2,,487.9,416.4
66,29/06/1984,377.7,431.2,88305.1,274.3,493.0,863.3,4173.9,,377.7,1329.3,383516.5,1394.2,8697.6,,,303672.2,431.2,,377.7,494.6,,493.0,428.6
67,31/07/1984,347.5,411.7,84343.3,262.9,459.6,836.7,3934.7,,347.5,1220.7,354973.3,1278.3,7975.4,,,286285.4,411.7,,347.5,521.5,,459.6,415.9
68,31/08/1984,347.7,418.2,84246.8,264.8,452.8,840.2,4003.5,,347.7,1225.9,359938.5,1281.0,7974.8,,,280854.4,418.2,,347.7,545.8,,452.8,410.8
69,28/09/1984,341.1,428.6,83505.0,270.8,447.5,851.4,4016.6,,341.1,1208.1,363434.4,1268.5,7867.2,,,285668.5,428.6,,341.1,565.2,,447.5,409.6
70,31/10/1984,340.2,434.3,83910.9,278.7,448.4,858.1,4070.5,,340.2,1210.3,360816.0,1246.2,7782.2,,,280507.6,434.3,,340.2,600.0,,448.4,406.7
71,30/11/1984,341.2,425.5,83166.5,274.9,449.9,842.3,4105.2,,341.2,1216.6,363666.6,1253.2,8971.8,,,274605.7,425.5,,341.2,614.5,,449.9,398.0
72,31/12/1984,320.2,411.5,79194.0,269.1,421.9,817.4,3908.7,,320.2,1139.6,340807.9,1177.5,8482.0,,,264186.0,411.5,,320.2,603.2,,421.9,379.9
73,31/01/1985,302.8,398.2,76938.4,268.6,401.2,804.8,3813.3,855.2,302.8,1085.8,328331.8,1114.2,8163.7,,,257388.7,398.2,,302.8,657.5,855.2,401.2,371.9
74,28/02/1985,299.1,409.7,78095.2,273.6,405.3,840.4,3869.6,851.6,299.1,1076.1,327440.6,1100.4,8258.1,,,257242.2,409.7,,299.1,589.2,851.6,405.3,406.5
75,29/03/1985,303.9,417.9,78114.5,270.0,418.9,847.9,3856.6,845.6,303.9,1090.8,325956.8,1091.5,8222.1,,,246917.0,417.9,,303.9,599.1,845.6,418.9,433.9
76,30/04/1985,325.3,420.9,81673.9,262.1,443.0,840.0,4005.6,927.8,325.3,1175.9,361563.6,1200.8,8842.4,,,275774.2,420.9,,325.3,628.6,927.8,443.0,493.0
77,31/05/1985,316.4,411.9,79549.6,252.8,434.9,825.9,3917.7,895.1,316.4,1141.6,351202.3,1160.1,8568.9,,,272523.2,411.9,,316.4,627.0,895.1,434.9,466.3
78,28/06/1985,316.5,407.4,78758.7,247.0,432.6,813.6,3910.0,900.3,316.5,1151.6,350789.8,1160.8,8562.2,,,277067.9,407.4,,316.5,623.7,900.3,432.6,474.6
79,31/07/1985,317.2,390.8,76493.2,230.2,429.0,764.1,3800.5,903.3,317.2,1157.5,351229.6,1153.1,8431.6,,,264439.3,390.8,,317.2,619.9,903.3,429.0,454.1
80,30/08/1985,329.8,394.0,78237.6,238.3,447.4,757.0,3918.4,959.0,329.8,1203.3,370943.4,1217.8,8764.2,,,294145.9,394.0,,329.8,769.9,959.0,447.4,465.7
81,30/09/1985,323.4,393.0,76238.0,236.9,442.7,752.4,3894.0,951.3,323.4,1177.5,362847.6,1186.1,8686.5,,,292537.3,393.0,,323.4,815.3,951.3,442.7,467.6
82,31/10/1985,325.8,371.3,69937.3,229.2,445.5,706.2,3902.6,986.3,325.8,1190.6,364870.9,1195.6,8524.0,,,288404.4,371.3,,325.8,848.2,986.3,445.5,464.0
83,29/11/1985,325.3,363.8,66321.5,225.8,447.6,692.4,3903.3,1036.3,325.3,1186.0,363746.5,1189.8,8421.2,,,290595.9,363.8,,325.3,862.9,1036.3,447.6,479.6
84,31/12/1985,321.9,351.1,65137.1,222.7,447.7,675.4,3871.6,1037.7,321.9,1173.2,364589.2,1190.8,8511.0,,,291987.3,351.1,,321.9,862.3,1037.7,447.7,471.3
85,31/01/1986,345.4,366.3,68952.3,242.6,484.8,712.5,4214.4,1111.3,345.4,1256.9,387945.2,1264.7,9080.9,,,309081.2,366.3,,345.4,810.6,1111.3,484.8,492.7
86,28/02/1986,338.9,343.8,62661.3,237.1,476.2,662.5,4175.8,1077.0,338.9,1239.7,378815.4,1247.2,8804.5,,,298799.9,343.8,,338.9,705.7,1077.0,476.2,485.0
87,31/03/1986,345.7,341.1,61657.3,235.5,483.3,659.0,4210.4,1106.6,345.7,1260.7,386365.4,1266.9,8956.3,,,304753.4,341.1,,345.7,700.0,1106.6,483.3,487.3
88,30/04/1986,340.4,339.4,59497.2,227.2,471.8,646.3,4199.6,1083.0,340.4,1239.9,380481.7,1247.7,8844.0,,,297270.7,339.4,,340.4,695.9,1083.0,471.8,469.9
89,30/05/1986,342.4,335.8,57222.9,225.3,471.2,634.9,4253.5,1095.7,342.4,1251.0,387298.9,1258.4,8915.4,,,302984.6,335.8,,342.4,751.1,1095.7,471.2,471.7
90,30/06/1986,342.7,337.2,57408.8,227.1,476.2,630.6,4294.2,1093.1,342.7,1284.6,383027.6,1259.1,8906.6,,,303056.9,337.2,,342.7,864.3,1093.1,476.2,496.1
91,31/07/1986,348.3,331.2,55284.0,230.8,480.9,608.4,4345.9,1230.6,348.3,1306.6,393396.2,1279.2,9043.0,,,309587.0,331.2,,348.3,888.4,1230.6,480.9,553.1
92,29/08/1986,376.6,345.6,57969.8,253.2,522.1,624.9,4702.3,1391.2,376.6,1409.3,424185.5,1379.7,9691.9,,,331505.1,345.6,,376.6,974.7,1391.2,522.1,612.8
93,30/09/1986,417.7,380.7,64511.3,284.1,578.3,689.2,5263.4,1538.4,417.7,1563.9,589924.0,1533.5,10811.5,,,369192.2,380.7,,417.7,965.5,1538.4,578.3,671.3
94,31/10/1986,423.5,380.0,66302.8,296.8,589.2,696.3,5431.1,1579.7,423.5,1591.0,695200.5,1558.1,10986.7,,,372283.0,380.0,,423.5,952.5,1579.7,589.2,664.6
95,28/11/1986,397.6,360.7,64897.3,279.0,552.9,672.2,5188.3,1483.5,397.6,1494.3,657206.0,1463.8,10352.2,,,346297.4,360.7,,397.6,897.4,1483.5,552.9,617.9
96,31/12/1986,390.9,350.2,63390.3,272.4,539.1,651.1,5107.2,1447.9,390.9,1465.0,645073.6,1435.1,10191.6,,,337602.2,350.2,,390.9,868.2,1447.9,539.1,592.0
97,30/01/1987,408.3,344.9,63274.2,270.9,556.0,638.8,5287.4,1513.2,408.3,1530.4,665819.6,1498.8,10473.2,,,350261.1,344.9,,408.3,855.1,1513.2,556.0,617.2
98,27/02/1987,401.1,333.5,61508.4,262.5,535.0,617.4,5213.6,1483.5,401.1,1503.5,655655.4,1472.4,10260.1,,,343157.8,333.5,,401.1,834.1,1483.5,535.0,600.0
99,31/03/1987,408.9,341.8,61792.0,256.8,538.3,628.2,5249.5,1511.7,408.9,1530.8,670158.7,1499.1,10457.2,,,347508.4,341.8,,408.9,845.3,1511.7,538.3,593.7
100,30/04/1987,438.4,361.7,62481.3,268.6,578.3,654.4,5576.8,1621.3,438.4,1642.0,720696.8,1608.3,11152.4,,,367903.4,361.7,,438.4,881.8,1621.3,578.3,615.3
101,29/05/1987,460.2,376.4,64698.6,276.2,617.2,677.1,5825.5,1716.4,460.2,1727.1,761194.5,1690.4,11708.9,,,381190.6,376.4,,460.2,922.9,1716.4,617.2,644.6
102,30/06/1987,449.6,373.7,65025.1,276.0,602.5,678.5,5759.7,1678.5,449.6,1688.4,742814.4,1653.6,11451.7,,,366645.4,373.7,,449.6,909.7,1678.5,602.5,627.4
103,31/07/1987,450.5,380.0,67661.0,280.0,597.0,691.7,5839.1,1677.8,450.5,1690.2,742752.8,1654.4,11653.2,,,364190.0,380.0,,450.5,928.0,1677.8,597.0,636.1
104,31/08/1987,461.2,390.7,68025.0,288.6,610.8,709.1,6003.6,1717.2,461.2,1726.2,756045.8,1690.7,11932.1,,,371953.6,390.7,,461.2,956.0,1717.2,610.8,651.2
105,30/09/1987,460.4,379.8,65895.2,279.7,605.2,691.1,5946.9,1716.5,460.4,1726.0,757681.4,1690.3,11677.1,,,371170.6,379.8,,460.4,940.0,1716.5,605.2,632.6
106,30/10/1987,465.4,381.0,66560.2,280.0,608.2,694.2,6027.9,1723.5,465.4,1742.3,765455.5,1706.8,11800.0,,,373024.5,381.0,,465.4,951.4,1723.5,608.2,651.5
107,30/11/1987,467.6,361.2,63195.8,263.1,614.6,645.1,6028.1,1725.7,467.6,1749.8,767422.7,1714.3,11751.3,,,372180.1,361.2,,467.6,922.1,1725.7,614.6,680.0
108,31/12/1987,486.2,366.6,62557.0,266.6,636.2,648.1,6263.6,1795.9,486.2,1824.0,798419.2,1786.8,12152.6,,,386278.8,366.6,,486.2,949.7,1795.9,636.2,685.1
109,29/01/1988,476.6,362.3,60967.1,264.8,612.9,642.9,6205.0,1792.2,476.6,1788.3,798502.8,1751.6,12008.0,,,377095.9,362.3,,476.6,941.4,1792.2,612.9,670.3
110,29/02/1988,442.1,344.4,57173.3,251.5,561.3,615.9,5745.4,1657.2,442.1,1659.2,736847.1,1624.9,11138.1,,,342089.9,344.4,,442.1,907.9,1657.2,561.3,620.2
111,31/03/1988,443.6,341.9,56195.2,242.0,552.2,612.9,5730.3,1628.5,443.6,1657.5,729744.8,1623.2,10982.0,,,332663.5,341.9,,443.6,941.9,1628.5,552.2,603.0
112,29/04/1988,451.6,346.9,56458.2,240.5,558.1,625.3,5929.5,1680.0,451.6,1694.5,755218.0,1659.4,11375.8,,,335159.9,346.9,,451.6,967.7,1680.0,558.1,603.3
113,31/05/1988,451.1,350.8,56240.2,241.3,557.8,636.4,5971.2,1679.9,451.1,1690.8,755721.9,1655.7,11261.2,,,331962.8,350.8,,451.1,997.1,1679.9,557.8,579.2
114,30/06/1988,451.3,363.8,57463.7,254.0,549.0,659.4,6214.3,1699.5,451.3,1694.2,764845.3,1659.2,11347.0,,,330150.6,363.8,,451.3,1025.4,1699.5,549.0,559.6
115,29/07/1988,437.6,370.3,58234.1,256.8,528.5,670.7,6145.9,1619.6,437.6,1641.4,739470.0,1607.3,11124.5,,,317582.5,370.3,,437.6,1046.8,1619.6,528.5,547.4
116,31/08/1988,431.3,373.3,57697.7,254.0,527.6,683.3,6127.6,1607.1,431.3,1619.2,735545.2,1585.8,10999.5,,,312040.3,373.3,,431.3,1059.2,1607.1,527.6,535.9
117,30/09/1988,413.5,355.3,55599.9,245.4,507.6,651.7,5955.0,1539.3,413.5,1551.1,704906.4,1519.0,10547.2,,,298034.7,355.3,,413.5,1014.7,1539.3,507.6,521.8
118,31/10/1988,406.8,340.3,52301.7,234.1,489.6,624.7,5945.8,1501.5,406.8,1522.7,692661.2,1491.8,10252.9,,,287653.2,340.3,,406.8,1001.4,1501.5,489.6,501.8
119,30/11/1988,420.2,337.5,51723.1,232.1,511.6,615.8,6256.7,1556.7,420.2,1573.9,718908.2,1541.0,10538.6,,,290854.3,337.5,,420.2,1005.7,1556.7,511.6,493.6
